index,Rk,Player,Pos,Tm,Cap Hit
456,,Duron Harmon,FS,NWE,1500000
457,,Ryan Groy,OG,BUF,1500000
458,,Robbie Gould,K,SFO,1500000
459,,Jamize Olawale,FB,OAK,1500000
460,,Benson Mayowa,DE,DAL,1500000
461,,Menelik Watson,OT,DEN,1500000
462,,Barkevious Mingo,OLB,IND,1500000
463,,John Simon,DE,IND,1500000
464,,Anthony Fasano,TE,MIA,1500000
465,,Chris Conte,DB,TAM,1500000
466,467,Danny Shelton,DT,CLE,1498970
467,468,Jermon Bushrod,T,MIA,1475000
468,469,Deone Bucannon,SS,ARI,1471255
469,470,Jeff Heath,S,DAL,1471000
470,471,Andrus Peat,OT,NOR,1470773
471,472,Robert Golden,S,PIT,1465000
472,473,Matt Bryant,K,ATL,1450000
473,474,DeVante Parker,WR,MIA,1423776
474,475,Melvin Gordon,RB,LAC,1404980
475,476,Mike Remmers,T,MIN,1400000
476,,Josh Kline,OL,TEN,1400000
477,,Garry Gilliam,T,SFO,1400000
478,,Jurrell Casey,DL,TEN,1400000
479,,Alex Boone,T,ARI,1400000
480,,Nate Allen,DB,MIA,1400000
481,482,Ronnie Stanley,OT,BAL,1381106
482,483,Greg Zuerlein,K,LAR,1375000
483,484,Eddie Lacy,RB,SEA,1365000
484,485,Teddy Bridgewater,QB,MIN,1354023
485,486,Marcus Cannon,OL,NWE,1350000
486,,Jordan Mills,OT,BUF,1350000
487,,Michael Hoomanawanui,TE,NOR,1350000
488,,Marshawn Lynch,RB,OAK,1350000
489,,Eric Decker,WR,TEN,1350000
490,,Erik Walden,DE,TEN,1350000
491,,Nathan Stupar,OLB,NOR,1350000
492,493,Kevin Johnson,CB,HOU,1348583
493,494,Arik Armstead,DE,SFO,1329785
494,495,Marcus Peters,CB,KAN,1306287
495,496,T.J. Johnson,C,CIN,1300000
496,,Nick Perry,DE,GNB,1300000
497,,Sean Lee,LB,DAL,1300000
498,,Patrick DiMarco,FB,BUF,1300000
499,,Andre Roberts,WR,ATL,1300000
500,,Johnson Bademosi,DB,NWE,1300000
501,502,Devonta Freeman,RB,ATL,1297000
502,,Morgan Moses,OT,WAS,1297000
503,504,Travis Frederick,C,DAL,1296000
504,505,Cameron Erving,OT,KAN,1292188
505,506,Nelson Agholor,WR,PHI,1287489
506,507,Cedric Ogbuehi,OT,CIN,1282789
507,508,Ethan Westbrooks,DE,LAR,1282175
508,509,DeForest Buckner,DE,SFO,1276863
509,510,Tyron Smith,OT,DAL,1275000
510,,Senio Kelemete,T,NOR,1275000
511,512,Bud Dupree,DE,PIT,1273390
512,513,Shane Ray,DE,DEN,1263991
513,514,Tyler Bray,QB,KAN,1252500
514,515,Joe Haden,DB,PIT,1250000
515,,Karl Klug,DL,TEN,1250000
516,,Akeem Spence,DT,DET,1250000
517,,Kemal Ishmael,DB,ATL,1250000
518,,Dont'a Hightower,ILB,NWE,1250000
519,,Ben Watson,TE,BAL,1250000
520,,Chris Maragos,DB,PHI,1250000
521,,Kyle Wilber,OLB,DAL,1250000
522,,Andre Smith,T,CIN,1250000
523,,Michael Brockers,DT,LAR,1250000
524,,Daren Bates,LB,TEN,1250000
525,,Jack Crawford,DE,ATL,1250000
526,,Brandon LaFell,WR,CIN,1250000
527,,Danny Amendola,WR,NWE,1250000
528,,Al Woods,DT,IND,1250000
529,,Tyson Alualu,DT,PIT,1250000
530,,Jason Pierre-Paul,DE,NYG,1250000
531,,Aldrick Robinson,WR,SFO,1250000
532,,Kendall Wright,WR,CHI,1250000
533,,Donnie Jones,P,PHI,1250000
534,535,D.J. Humphries,OT,ARI,1245192
535,536,Cornelius Washington,DE,DET,1237500
536,537,Shaq Thompson,OLB,CAR,1235793
537,538,Breshad Perriman,WR,BAL,1226392
538,539,Mason Foster,LB,WAS,1225000
539,540,Byron Jones,CB,DAL,1216995
540,541,Laken Tomlinson,OG,SFO,1212296
541,542,Darrius Heyward-Bey,WR,PIT,1200000
542,,Harry Douglas,WR,TEN,1200000
543,,Ryan Allen,P,NWE,1200000
544,,Dion Lewis,RB,NWE,1200000
545,,Marcus Gilchrist,DB,HOU,1200000
546,,Alfred Morris,RB,DAL,1200000
547,548,Xavier Su'a-Filo,OG,HOU,1177036
548,549,Phillip Dorsett,WR,NWE,1174583
549,550,Jack Conklin,OT,TEN,1172621
550,551,Demarcus Lawrence,DE,DAL,1170907
551,552,Leonard Floyd,OLB,CHI,1167403
552,553,Damarious Randall,FS,GNB,1154612
553,554,Eric Wood,C,BUF,1150000
554,,Jahri Evans,T,GNB,1150000
555,,Linval Joseph,DT,MIN,1150000
556,557,Eli Apple,CB,NYG,1138742
557,558,Malcom Brown,DT,NWE,1127112
558,559,Marqise Lee,WR,JAX,1125549
559,560,Brad Wing,P,NYG,1125000
560,561,Cody Davis,S,LAR,1111111
561,562,Lamarcus Joyner,CB,LAR,1105934
562,563,Craig Robertson,LB,NOR,1105000
563,564,Demetrius Harris,TE,KAN,1100000
564,,Russell Shepard,WR,CAR,1100000
565,,Jonathan Stewart,RB,CAR,1100000
566,,DeAngelo Hall,DB,WAS,1100000
567,,Margus Hunt,DE,IND,1100000
568,,Jacquizz Rodgers,RB,TAM,1100000
569,,Tress Way,P,WAS,1100000
570,,Anthony Sherman,RB,KAN,1100000
571,,L.P. Ladouceur,LS,DAL,1100000
572,,Tank Carradine,DE,SFO,1100000
573,,David DeCastro,G,PIT,1100000
574,575,Jordan Matthews,WR,BUF,1094900
575,576,Vernon Hargreaves,CB,TAM,1094439
576,577,Weston Richburg,C,NYG,1085093
577,578,Eddie Pleasant,SS,HOU,1078000
578,579,Kiko Alonso,ILB,MIA,1075000
579,,Theo Riddick,RB,DET,1075000
580,581,Josh Gordon,WR,CLE,1068406
581,582,Paul Richardson,WR,SEA,1062659
582,583,Marshall Newhouse,GT,OAK,1050000
583,,DeShawn Shead,DB,SEA,1050000
584,585,Sheldon Rankins,DT,NOR,1031893
585,586,Bradley Roby,CB,DEN,1018072
586,587,Timmy Jernigan,DT,PHI,1017284
587,588,Laremy Tunsil,OT,MIA,1016257
588,589,Stephone Anthony,ILB,MIA,1004015
589,590,Charles Johnson,DE,CAR,1000000
590,,Brock Coyle,LB,SFO,1000000
591,,Lawrence Timmons,LB,MIA,1000000
592,,Dekoda Watson,LB,SFO,1000000
593,,Brian Winters,OG,NYJ,1000000
594,,Matt Kalil,OT,CAR,1000000
595,,Frostee Rucker,DE,ARI,1000000
